slug	url	raw_html_sha256	text_sha256	words	src_path
ch-102-financial-model-templates	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-102-financial-model-templates.html	776fe1a5618c4ab592307d70adeb16e8042eff5cb4457921acd375be4f6dc2f3	e79d8b670cd403dd7e4a28f94ff4e8dba5f48eb97f30cbecd0aaaa9a4300d268	5450	/home/user/canon-corpus-src/investors-canon/chapters/ch-102-financial-model-templates.html
ch-103-position-sizing-portfolio-tools	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-103-position-sizing-portfolio-tools.html	ca2be87e622d7a193c0f2df87897ff4bb700d1185106c2133cf6677ef875522b	64be9d52ac245147da658b534dd227b141aed68df6095691dfbf197a304fb05f	5466	/home/user/canon-corpus-src/investors-canon/chapters/ch-103-position-sizing-portfolio-tools.html
ch-104-performance-monitoring-tools	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-104-performance-monitoring-tools.html	8e1e7ac414f0b2c7ca8c2f17a66d82ee453218c65b8735327366b445ce3c12cb	ccc9d9e03e65c8807e74f8076c3d8b28a5ecb18573dcb56ec0cd9c4c7c14d942	4481	/home/user/canon-corpus-src/investors-canon/chapters/ch-104-performance-monitoring-tools.html
ch-105-canon-data-pipeline	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-105-canon-data-pipeline.html	e0e38df7ee59500bdc782b7bd71545d7353b0b1718963cd1140498b6a373f870	42e91bcd381541d2f08e6277515129cae5ed1fac0590f240e9efebd884c0126b	5017	/home/user/canon-corpus-src/investors-canon/chapters/ch-105-canon-data-pipeline.html
ch-106-nepse-data-handbook-almanac	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-106-nepse-data-handbook-almanac.html	0b273613a24bfc0d16efca971d450618ec2941f31000f813fb2171cbc8542feb	339b6d1544617c3d2d6583dcbdb3c5a171604a3d81d2488aa113296c32cc1794	5568	/home/user/canon-corpus-src/investors-canon/chapters/ch-106-nepse-data-handbook-almanac.html
ch-107-keeping-canon-current	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-107-keeping-canon-current.html	d1f923ff594c57809fde5ef694e79be53cba74f3a7dfce7c1f41756de6791a12	8a9694071d71d765f4ed93ef0a8d577780c13c3ab1f3495515dd4ede30c54e94	5324	/home/user/canon-corpus-src/investors-canon/chapters/ch-107-keeping-canon-current.html
ch-108-adapting-to-market-evolution	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-108-adapting-to-market-evolution.html	d6fd1a46f1286ca60fe1e11c04024ef7408e3ea61f836550dca03b4e20cc90e9	f7d39ff9aa6fd6fa9c905a5bb361fd3d1cd3363ac80db4130eaa103a632a5e37	6762	/home/user/canon-corpus-src/investors-canon/chapters/ch-108-adapting-to-market-evolution.html
ch-109-lifelong-investor-mindset	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-109-lifelong-investor-mindset.html	809196e2e1a33d43e1eabd8b5649c734fae5b85bd65590bfdb9d8a87393e7862	623e0585eee386c252518eb384aee51faf067344f0299100d3d25e4c05b50fb7	6188	/home/user/canon-corpus-src/investors-canon/chapters/ch-109-lifelong-investor-mindset.html
ch-11-liquidity-problem	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-11-liquidity-problem.html	5e18988655bc6a6f6aba45dd29fb034393ea3db7f33c0a004883e20c7f2f7d85	4cb561b37ee57b5a3aee1f2d3ef25dffd64cd0bb88be4e0e89b8b5a61c8b88b2	7235	/home/user/canon-corpus-src/investors-canon/chapters/ch-11-liquidity-problem.html
ch-110-nepse-regulatory-change-tracker	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-110-nepse-regulatory-change-tracker.html	95ef81db8d3deec31d4e9f9c0ed1033f88176fe6ccd8cf2c687c8755009e83c4	6bcae4d009a018348c368a469ee96f26dd653a737d2e69c8bea8718748140ad7	5165	/home/user/canon-corpus-src/investors-canon/chapters/ch-110-nepse-regulatory-change-tracker.html
ch-111-personal-research-library	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-111-personal-research-library.html	4f8da26035a83b2acced95c3865fdf1c034c04b9060a9aaf040416e08595ae00	b5d9ad1cffad577a5d2daaac8fbc67c2c450a93347ca69897fba55bcf79413c8	5839	/home/user/canon-corpus-src/investors-canon/chapters/ch-111-personal-research-library.html
